id;fecha;valor;variacion;fuente;created_at
246;20230503;31873.79;0.83;archivo_dat;2026-01-05 08:23:29
247;20230504;31885.05;0.04;archivo_dat;2026-01-05 08:23:29
248;20230505;32508.21;1.95;archivo_dat;2026-01-05 08:23:29
249;20230508;34069.34;4.8;archivo_dat;2026-01-05 08:23:29
250;20230509;33835.47;-0.69;archivo_dat;2026-01-05 08:23:29
251;20230510;33866.58;0.09;archivo_dat;2026-01-05 08:23:29
252;20230511;34108.56;0.71;archivo_dat;2026-01-05 08:23:29
253;20230512;33272.05;-2.45;archivo_dat;2026-01-05 08:23:29
254;20230515;33033.13;-0.72;archivo_dat;2026-01-05 08:23:29
255;20230516;32333.19;-2.12;archivo_dat;2026-01-05 08:23:29
256;20230517;32007.49;-1.01;archivo_dat;2026-01-05 08:23:29
257;20230518;31785.42;-0.69;archivo_dat;2026-01-05 08:23:29
258;20230519;31919.92;0.42;archivo_dat;2026-01-05 08:23:29
259;20230523;32331.21;1.29;archivo_dat;2026-01-05 08:23:29
260;20230524;32105.18;-0.7;archivo_dat;2026-01-05 08:23:29
261;20230525;31884.43;-0.69;archivo_dat;2026-01-05 08:23:29
262;20230526;32883.88;3.13;archivo_dat;2026-01-05 08:23:29
263;20230529;32882.82;0.0;archivo_dat;2026-01-05 08:23:29
264;20230530;32545.17;-1.03;archivo_dat;2026-01-05 08:23:29
265;20230531;33362.96;2.51;archivo_dat;2026-01-05 08:23:29
266;20230601;33039.73;-0.97;archivo_dat;2026-01-05 08:23:29
267;20230602;33729.32;2.09;archivo_dat;2026-01-05 08:23:29
268;20230605;33282.75;-1.32;archivo_dat;2026-01-05 08:23:29
269;20230606;33925.19;1.93;archivo_dat;2026-01-05 08:23:29
270;20230607;33653.78;-0.8;archivo_dat;2026-01-05 08:23:29
271;20230608;34072.78;1.25;archivo_dat;2026-01-05 08:23:29
272;20230609;35500.36;4.19;archivo_dat;2026-01-05 08:23:29
273;20230613;34697.5;-2.26;archivo_dat;2026-01-05 08:23:29
274;20230614;34627.5;-0.2;archivo_dat;2026-01-05 08:23:29
275;20230615;34348.11;-0.81;archivo_dat;2026-01-05 08:23:29
276;20230616;34583.45;0.69;archivo_dat;2026-01-05 08:23:29
277;20230620;34587.88;0.01;archivo_dat;2026-01-05 08:23:29
278;20230621;34669.22;0.24;archivo_dat;2026-01-05 08:23:29
279;20230622;34906.26;0.68;archivo_dat;2026-01-05 08:23:29
280;20230623;34071.77;-2.39;archivo_dat;2026-01-05 08:23:29
281;20230626;33819.93;-0.74;archivo_dat;2026-01-05 08:23:29
282;20230627;32850.05;-2.87;archivo_dat;2026-01-05 08:23:29
283;20230628;33297.18;1.36;archivo_dat;2026-01-05 08:23:29
284;20230629;34849.15;4.66;archivo_dat;2026-01-05 08:23:29
285;20230630;35414.36;1.62;archivo_dat;2026-01-05 08:23:29
286;20230704;34923.43;-1.39;archivo_dat;2026-01-05 08:23:29
287;20230706;34387.27;-1.54;archivo_dat;2026-01-05 08:23:29
288;20230707;34387.05;0.0;archivo_dat;2026-01-05 08:23:29
289;20230710;34515.09;0.37;archivo_dat;2026-01-05 08:23:29
